id,type,part_of_speech,native_frequency_rating,native_frequency_label,native_frequency_notes,rated_by,rated_at,corpus_rank,register,regional_labels,contexts,tags,gender,plural,genitive_singular,is_reflexive,is_separable,auxiliary,present_er_sie_es,praeteritum,partizip_ii,valency,collocations,synonyms,antonyms,false_friends,word_family,mnemonic_hint,approved_by_native,connector_function,verb_position_effect,highlighted_example,noun_article_rule,review_status
vocab-b2-aus-betrieblichen-gruenden-7afb08323e,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-ausarbeiten-adfb1dfa37,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-ausgeglichen-c658d21ef5,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-ausgehen-von-9268439e85,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-aushaengen-c15b505fbd,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-auskommen-mit-5dc2f34de5,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-auskunft-geben-7a031c1280,vocabulary,noun,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-auslegen-dokument-a02e518482,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-ausnutzen-648dfceaa1,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-ausschliesslich-1de32e06e6,vocabulary,adjective,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-ausserhalb-der-sprechzeit-anrufen-b3ad630a1a,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-austeilen-a2d16041c8,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-auszeichnen-53b501ccb7,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-bankrott-sein-208d5b6fc9,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-beabsichtigen-f2653cb24f,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-bedenken-aeussern-9af1b5fba5,vocabulary,noun,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-beeindrucken-fabd8020f6,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-befolgen-e5553e0dbc,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-begegnen-f53c33bab4,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-begiessen-d07d8bb4f4,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-begleiten-a4e74690d5,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-beibringen-ed1c27cf83,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-beissen-3ce2231eb5,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-beistehen-086cef6cb4,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-beitragen-zu-b667f7142f,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-beklagen-82b04ca612,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-belaestigen-c285f4bf93,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-belastbar-e3d5807389,vocabulary,adjective,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-beliefern-79c351ad58,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-berechnen-ueberstunden-f3f589ecea,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-bereuen-b14a608a66,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-beruflich-vorwaertskommen-b05ee8e68e,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-beschaeftigen-0cf8f534dc,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-beschaeftigen-970fd095d4,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-bescheid-geben-5ae663ae79,vocabulary,noun,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-bescheid-geben-97ec9b700e,vocabulary,noun,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-bescheiden-db001a551a,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-beschuldigen-bf9d6ddb9c,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-beschwerden-beantworten-5597d26f98,vocabulary,noun,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-bestreiten-63471fd410,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-betreiben-8b0e66d75e,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-betreuen-826ae544d7,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-bewundern-2875e79d0c,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-beziehungsweise-1486df1044,vocabulary,adverb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-bezug-nehmen-auf-de187595ef,vocabulary,noun,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-bezweifeln-d5128e8394,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-bis-an-die-grenzen-arbeiten-87e4f0f23a,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-buersten-c525966fad,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-damalig-5374204725,vocabulary,adjective,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-darstellen-679c1ed806,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-das-anliegen-b76e8e4cc0,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-das-anliegen-ed5f787067,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-das-ausrufezeichen-eba411c03a,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-das-berichtsheft-fuehren-901fbc95da,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-das-bewusstsein-verlieren-d7502eab36,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-das-du-anbieten-34eb4a072d,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-das-entgegenkommen-6f0cd94fab,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-das-entgegenkommen-bc71726107,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-das-gehalt-verhandeln-1ef75cb190,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-das-gewissen-ac675b055d,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-das-gleichgewicht-verlieren-f9d70bdd85,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-das-internationale-unternehmen-c4c999cd9c,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-das-kaninchen-0873687f92,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-das-konsumverhalten-421ed6071b,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-das-mittelstaendische-unternehmen-9b526b9490,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
